"Borough","Qualification Type","GSScode","ethnicDemo","numofPeople"
"Barking and Dagenham","Apprenticeship","E09000002","Asian, Asian British or Asian Welsh",740
"Barking and Dagenham","Apprenticeship","E09000002","Black, Black British, Black Welsh, Caribbean or African",835
"Barking and Dagenham","Apprenticeship","E09000002","Mixed or Multiple ethnic groups",189
"Barking and Dagenham","Apprenticeship","E09000002","White",4281
"Barking and Dagenham","Apprenticeship","E09000002","Other",217
"Barnet","Apprenticeship","E09000003","Asian, Asian British or Asian Welsh",1122
"Barnet","Apprenticeship","E09000003","Black, Black British, Black Welsh, Caribbean or African",543
"Barnet","Apprenticeship","E09000003","Mixed or Multiple ethnic groups",306
"Barnet","Apprenticeship","E09000003","White",6925
"Barnet","Apprenticeship","E09000003","Other",734
"Bexley","Apprenticeship","E09000004","Asian, Asian British or Asian Welsh",351
"Bexley","Apprenticeship","E09000004","Black, Black British, Black Welsh, Caribbean or African",417
"Bexley","Apprenticeship","E09000004","Mixed or Mulitple ethnic groups",148
"Bexley","Apprenticeship","E09000004","White",9162
"Bexley","Apprenticeship","E09000004","Other",149
"Brent","Apprenticeship","E09000005","Asian, Asian British or Asian Welsh",1888
"Brent","Apprenticeship","E09000005","Black, Black British, Black Welsh, Caribbean or African",1656
"Brent","Apprenticeship","E09000005","Mixed or Mulitple ethnic groups",464
"Brent","Apprenticeship","E09000005","White",4716
"Brent","Apprenticeship","E09000005","Other",805
"Bromley","Apprenticeship","E09000006","Asian, Asian British or Asian Welsh",256
"Bromley","Apprenticeship","E09000006","Black, Black British, Black Welsh, Caribbean or African",491
"Bromley","Apprenticeship","E09000006","Mixed or Mulitple ethnic groups",320
"Bromley","Apprenticeship","E09000006","White",9309
"Bromley","Apprenticeship","E09000006","Other",183
"Camden","Apprenticeship","E09000007","Asian, Asian British or Asian Welsh",433
"Camden","Apprenticeship","E09000007","Black, Black British, Black Welsh, Caribbean or African",371
"Camden","Apprenticeship","E09000007","Mixed or Mulitple ethnic groups",183
"Camden","Apprenticeship","E09000007","White",2153
"Camden","Apprenticeship","E09000007","Other",262
"City of London","Apprenticeship","E09000001","Asian, Asian British or Asian Welsh",8
"City of London","Apprenticeship","E09000001","Black, Black British, Black Welsh, Caribbean or African",11
"City of London","Apprenticeship","E09000001","Mixed or Mulitple ethnic groups",6
"City of London","Apprenticeship","E09000001","White",46
"City of London","Apprenticeship","E09000001","Other",8
"Croydon","Apprenticeship","E09000008","Asian, Asian British or Asian Welsh",928
"Croydon","Apprenticeship","E09000008","Black, Black British, Black Welsh, Caribbean or African",2199
"Croydon","Apprenticeship","E09000008","Mixed or Mulitple ethnic groups",575
"Croydon","Apprenticeship","E09000008","White",7627
"Croydon","Apprenticeship","E09000008","Other",457
"Ealing","Apprenticeship","E09000009","Asian, Asian British or Asian Welsh",1961
"Ealing","Apprenticeship","E09000009","Black, Black British, Black Welsh, Caribbean or African",991
"Ealing","Apprenticeship","E09000009","Mixed or Mulitple ethnic groups",349
"Ealing","Apprenticeship","E09000009","White",5911
"Ealing","Apprenticeship","E09000009","Other",800
"Enfield","Apprenticeship","E09000010","Asian, Asian British or Asian Welsh",517
"Enfield","Apprenticeship","E09000010","Black, Black British, Black Welsh, Caribbean or African",1491
"Enfield","Apprenticeship","E09000010","Mixed or Mulitple ethnic groups",428
"Enfield","Apprenticeship","E09000010",White,6684
"Enfield","Apprenticeship","E09000010",Other,935
"Greenwich","Apprenticeship","E09000011","Asian, Asian British or Asian Welsh",609
"Greenwich","Apprenticeship","E09000011","Black, Black British, Black Welsh, Caribbean or African",1294
"Greenwich","Apprenticeship","E09000011","Mixed or Mulitple ethnic groups",308
"Greenwich","Apprenticeship","E09000011","White",5449
"Greenwich","Apprenticeship","E09000011","Other",279
"Hackney","Apprenticeship","E09000012","Asian, Asian British or Asian Welsh",337
"Hackney","Apprenticeship","E09000012","Black, Black British, Black Welsh, Caribbean or African",1542
"Hackney","Apprenticeship","E09000012","Mixed or Mulitple ethnic groups",323
"Hackney","Apprenticeship","E09000012","White",2271
"Hackney","Apprenticeship","E09000012","Other",467
