"Borough","Qualification Type","GSScode","numofPeople"
"Barking and Dagenham","Apprenticeship","E09000002",6262
"Barnet","Apprenticeship","E09000003",9629
"Bexley","Apprenticeship","E09000004",10227
"Brent","Apprenticeship","E09000005",9529
"Bromley","Apprenticeship","E09000006",10559
"Camden","Apprenticeship","E09000007",3402
"City of London","Apprenticeship","E09000001",79
"Croydon","Apprenticeship","E09000008",11786
"Ealing","Apprenticeship","E09000009",10012
"Enfield","Apprenticeship","E09000010",10055
"Greenwich","Apprenticeship","E09000011",7939
"Hackney","Apprenticeship","E09000012",4940
"Hammersmith and Fulham","Apprenticeship","E09000013",3533
"Haringey","Apprenticeship","E09000014",6781
"Harrow","Apprenticeship","E09000015",6656
"Havering","Apprenticeship","E09000016",10507
"Hillingdon","Apprenticeship","E09000017",10298
"Hounslow","Apprenticeship","E09000018",8090
"Islington","Apprenticeship","E09000019",4212
"Kensington and Chelsea","Apprenticeship","E09000020",2379
"Kingston upon Thames","Apprenticeship","E09000021",4324
"Lambeth","Apprenticeship","E09000022",6972
"Lewisham","Apprenticeship","E09000023",7261
"Merton","Apprenticeship","E09000024",5753
"Newham","Apprenticeship","E09000025",8619
"Redbridge","Apprenticeship","E09000026",7466
"Richmond upon Thames","Apprenticeship","E09000027"3743
"Southwark","Apprenticeship","E09000028",6508
"Sutton","Apprenticeship","E09000029",7282
"Tower Hamlets","Apprenticeship","E09000030",5442
"Waltham Forest","Apprenticeship","E09000031",7699
"Wandsworth","Apprenticeship","E09000032",5578
"Westminster","Apprenticeship","E09000033",3749
"Barking and Dagenham","Level 3","E09000002",21819
"Barnet","Level 3","E09000003",38541
"Bexley","Level 3","E09000004",32511
"Brent","Level 3","E09000005",34338
"Bromley","Level 3","E09000006",39420
"Camden","Level 3","E09000007",25154
"City of London","Level 3","E09000001",713
"Croydon","Level 3","E09000008",45536
"Ealing","Level 3","E09000009",37920
"Enfield","Level 3","E09000010",34476
"Greenwich","Level 3","E09000011",29954
"Hackney","Level 3","E09000012",24171
"Hammersmith and Fulham","Level 3","E09000013",20165
"Haringey","Level 3","E09000014",25260
"Harrow","Level 3","E09000015",26424
"Havering","Level 3","E09000016",341522
"Hillingdon","Level 3","E09000017",35808
"Hounslow","Level 3","E09000018",28046
"Islington","Level 3","E09000019",22337
"Kensington and Chelsea","Level 3","E09000020",15439
"Kingston upon Thames","Level 3","E09000021",19764
"Lambeth","Level 3","E09000022",31935
"Lewisham","Level 3","E09000023",31541
"Merton","Level 3","E09000024",21787
"Newham","Level 3","E09000025",35783
"Redbridge","Level 3","E09000026",33074
"Richmond upon Thames","Level 3",18830
"Southwark","Level 3","E09000028",31575
"Sutton","Level 3","E09000029",25866
"Tower Hamlets","Level 3","E09000030",33345
"Waltham Forest","Level 3","E09000031",28770
"Wandsworth","Level 3","E09000032",31214
"Westminster","Level 3","E09000033",22020
"Barking and Dagenham","Level 4","E09000002",53790
"Barnet","Level 4","E09000003",151642
"Bexley","Level 4","E09000004",61837
"Brent","Level 4","E09000005",109998
"Bromley","Level 4","E09000006",113510
"Camden","Level 4","E09000007",101932
"City of London","Level 4","E09000001",5938
"Croydon","Level 4","E09000008",127344
"Ealing","Level 4","E09000009",130981
"Enfield","Level 4","E09000010",93371
"Greenwich","Level 4","E09000011",104921
"Hackney","Level 4","E09000012",109725
"Hammersmith and Fulham","Level 4","E09000013",89073
"Haringey","Level 4","E09000014",104270
"Harrow","Level 4","E09000015",94317
"Havering","Level 4","E09000016",61921
"Hillingdon","Level 4","E09000017",90664
"Hounslow","Level 4","E09000018",95076
"Islington","Level 4","E09000019",103973
"Kensington and Chelsea","Level 4","E09000020","73226
"Kingston upon Thames","Level 4","E09000021",27484
"Lambeth","Level 4","E09000022",151312
"Lewisham","Level 4","E09000023",120814
"Merton","Level 4","E09000024",86413
"Newham","Level 4","E09000025",111129
"Redbridge","Level 4","E09000026",102696
"Richmond upon Thames","Level 4","E09000027",94089
"Southwark","Level 4","E09000028",140513
"Sutton","Level 4","E09000029",65889
"Tower Hamlets","Level 4","E09000030",127300
"Waltham Forest","Level 4","E09000031",95910
"Wandsworth","Level 4","E09000032",171346
"Westminster","Level 4","E09000033",102356
